sample_id,site,sample.date,plot,depth_cm,sample_name,rep
1,CCNRD,2025,101,15,101CCNRD15,A
2,CCNRD,2025,101,15,101CCNRD15,B
3,CCNRD,2025,102,15,102CCNRD15,A
4,CCNRD,2025,102,15,102CCNRD15,B
5,CCNRD,2025,103,15,103CCNRD15,A
6,CCNRD,2025,103,15,103CCNRD15,B
7,CCNRD,2025,104,15,104CCNRD15,A
8,CCNRD,2025,104,15,104CCNRD15,B
9,CCNRD,2025,105,15,105CCNRD15,A
10,CCNRD,2025,105,15,105CCNRD15,B
11,CCNRD,2025,106,15,106CCNRD15,A
12,CCNRD,2025,106,15,106CCNRD15,B
13,CCNRD,2025,107,15,107CCNRD15,A
14,CCNRD,2025,107,15,107CCNRD15,B
15,CCNRD,2025,108,15,108CCNRD15,A
16,CCNRD,2025,108,15,108CCNRD15,B
17,CCNRD,2025,109,15,109CCNRD15,A
18,CCNRD,2025,109,15,109CCNRD15,B
19,CCNRD,2025,110,15,110CCNRD15,A
20,CCNRD,2025,110,15,110CCNRD15,B
21,CCNRD,2025,111,15,111CCNRD15,A
22,CCNRD,2025,111,15,111CCNRD15,B
23,CCNRD,2025,112,15,112CCNRD15,A
24,CCNRD,2025,112,15,112CCNRD15,B
25,CCNRD,2025,201,15,201CCNRD15,A
26,CCNRD,2025,201,15,201CCNRD15,B
27,CCNRD,2025,202,15,202CCNRD15,A
28,CCNRD,2025,202,15,202CCNRD15,B
29,CCNRD,2025,203,15,203CCNRD15,A
30,CCNRD,2025,203,15,203CCNRD15,B
31,CCNRD,2025,204,15,204CCNRD15,A
32,CCNRD,2025,204,15,204CCNRD15,B
33,CCNRD,2025,205,15,205CCNRD15,A
34,CCNRD,2025,205,15,205CCNRD15,B
35,CCNRD,2025,206,15,206CCNRD15,A
36,CCNRD,2025,206,15,206CCNRD15,B
37,CCNRD,2025,207,15,207CCNRD15,A
38,CCNRD,2025,207,15,207CCNRD15,B
39,CCNRD,2025,208,15,208CCNRD15,A
40,CCNRD,2025,208,15,208CCNRD15,B
41,CCNRD,2025,209,15,209CCNRD15,A
42,CCNRD,2025,209,15,209CCNRD15,B
43,CCNRD,2025,210,15,210CCNRD15,A
44,CCNRD,2025,210,15,210CCNRD15,B
45,CCNRD,2025,211,15,211CCNRD15,A
46,CCNRD,2025,211,15,211CCNRD15,B
47,CCNRD,2025,212,15,212CCNRD15,A
48,CCNRD,2025,212,15,212CCNRD15,B
49,CCNRD,2025,301,15,301CCNRD15,A
50,CCNRD,2025,301,15,301CCNRD15,B
51,CCNRD,2025,302,15,302CCNRD15,A
52,CCNRD,2025,302,15,302CCNRD15,B
53,CCNRD,2025,303,15,303CCNRD15,A
54,CCNRD,2025,303,15,303CCNRD15,B
55,CCNRD,2025,304,15,304CCNRD15,A
56,CCNRD,2025,304,15,304CCNRD15,B
57,CCNRD,2025,305,15,305CCNRD15,A
58,CCNRD,2025,305,15,305CCNRD15,B
59,CCNRD,2025,306,15,306CCNRD15,A
60,CCNRD,2025,306,15,306CCNRD15,B
61,CCNRD,2025,307,15,307CCNRD15,A
62,CCNRD,2025,307,15,307CCNRD15,B
63,CCNRD,2025,308,15,308CCNRD15,A
64,CCNRD,2025,308,15,308CCNRD15,B
65,CCNRD,2025,309,15,309CCNRD15,A
66,CCNRD,2025,309,15,309CCNRD15,B
67,CCNRD,2025,310,15,310CCNRD15,A
68,CCNRD,2025,310,15,310CCNRD15,B
69,CCNRD,2025,311,15,311CCNRD15,A
70,CCNRD,2025,311,15,311CCNRD15,B
71,CCNRD,2025,312,15,312CCNRD15,A
72,CCNRD,2025,312,15,312CCNRD15,B
73,CCNRD,2025,401,15,401CCNRD15,A
74,CCNRD,2025,401,15,401CCNRD15,B
75,CCNRD,2025,402,15,402CCNRD15,A
76,CCNRD,2025,402,15,402CCNRD15,B
77,CCNRD,2025,403,15,403CCNRD15,A
78,CCNRD,2025,403,15,403CCNRD15,B
79,CCNRD,2025,404,15,404CCNRD15,A
80,CCNRD,2025,404,15,404CCNRD15,B
