plot,depth.cm,sample.id,cup_label,ugC.g.day
101,15,101CCNRD15,284a,217.3356974
101,15,101CCNRD15,284c,235.4965928
101,15,101CCNRD15,284b,238.4754659
101,30,101CCNRD30,084B,37.85292392
101,30,101CCNRD30,084A,50.63063234
101,30,101CCNRD30,084C,54.2092714
101,60,101CCNRD60,085B,73.94995803
101,60,101CCNRD60,085A,76.33962138
101,60,101CCNRD60,143c,77.01182879
101,90,101CCNRD90,086B,31.21344828
101,90,101CCNRD90,086A,33.32786444
101,90,101CCNRD90,086C,43.95630898
102,15,102CCNRD15,285b,137.5181132
102,15,102CCNRD15,285a,158.8349539
102,15,102CCNRD15,285c,173.769567
102,30,102CCNRD30,130B,70.43442799
102,30,102CCNRD30,130A,76.38194825
102,60,102CCNRD60,173c,34.75825094
102,60,102CCNRD60,173b,37.03894002
102,90,102CCNRD90,216b,46.99889321
102,90,102CCNRD90,216a,49.00864061
102,90,102CCNRD90,216c,51.96648953
103,15,103CCNRD15,288a,163.9526986
103,15,103CCNRD15,288c,179.212007
103,15,103CCNRD15,288b,195.614148
103,30,103CCNRD30,131A,83.64536658
103,30,103CCNRD30,131C,83.69552278
103,30,103CCNRD30,131B,90.82867843
103,60,103CCNRD60,174c,51.48151633
103,60,103CCNRD60,174b,52.73261845
103,60,103CCNRD60,174a,54.74175482
103,90,103CCNRD90,217a,50.20881576
103,90,103CCNRD90,217c,62.85303962
104,15,104CCNRD15,292c,273.6577577
104,15,104CCNRD15,292a,277.6399139
104,15,104CCNRD15,292b,320.6704297
104,30,104CCNRD30,132B,76.79996783
104,30,104CCNRD30,132C,92.22742272
104,60,104CCNRD60,175b,53.18817143
104,60,104CCNRD60,175a,61.16564526
104,60,104CCNRD60,175c,69.95186436
104,90,104CCNRD90,218c,42.19565656
104,90,104CCNRD90,218a,47.69218572
104,90,104CCNRD90,218b,49.46264858
105,15,105CCNRD15,296c,176.0512999
105,15,105CCNRD15,296a,178.603465
105,15,105CCNRD15,296b,198.306861
105,30,105CCNRD30,133A,77.42978569
105,30,105CCNRD30,133B,83.02150548
105,30,105CCNRD30,133C,86.64211801
105,60,105CCNRD60,176c,58.24988065
105,60,105CCNRD60,176a,63.61762864
